URL,Product Type,Manufacturer,Name,Description,Option1 Name,Option1 Value,Weight in grams,Variant Inventory Qty,Variant Price
chic-steel-shirt,incentivize visionary infomediaries,Sawayn-Metz,Chic Steel Shirt,We need to program the haptic FTP pixel!,Color or something,Bathymetric Glass Tablet 522e816794cedffd48eadde379bcd4d1,6000,176,2170.99
chic-steel-shirt,,,,,,Aluminiferous Vinyl Laptop 866b3c2899ee47cf5d99c643e7434de4,7000,868,1221.99
chic-steel-shirt,,,,,,Actual Aluminum iPod 519115f1f63567a99eb75abdc6ebe031,6000,927,1679.99
chic-steel-shirt,,,,,,Chill Paper Picture a81e946734a60c6d87140c1565bfeecc,10000,770,2013.99
galenic-paper-camera,utilize turn-key networks,Green Group,Galenic Paper Camera,"hacking the bandwidth won't do anything, we need to bypass the wireless SSL card!",Color or something,Lettish Granite Painting 402ec0b45f89f356c92dcb2769f37d67,4000,658,1649.99
galenic-paper-camera,,,,,,Holocene Glass Paintbrush f09e07c56980a5b698c78ca7230f7957,2000,14,1820.99
galenic-paper-camera,,,,,,Bond Rubber Staples 041c7ade9b65cbdb9091bf9964af8041,4000,418,2298.99
galenic-paper-camera,,,,,,Czech Gold Plant ead975aa42ba8e3013c62a945afda84d,5000,829,2720.99
balustraded-steel-jacket,deploy B2B portals,"Schultz, Ruecker and Carroll",Balustraded Steel Jacket,"Use the open-source RSS bandwidth, then you can back up the wireless protocol!",Color or something,Arguable Plastic iPad b7e8455bdd7ddbc53aa1840748924591,5000,942,1034.99
balustraded-steel-jacket,,,,,,Bantu Canvas Socks 1b40679c7d890b00f6ae813760102ecd,1000,177,2573.99
balustraded-steel-jacket,,,,,,Orphean Paper Shoes a62c97e16c60b83102199e2b714fb79f,9000,159,1474.99
balustraded-steel-jacket,,,,,,Adagio Aluminum Shoes bbf39e7ab8960c2bc6d28565a0d1930e,8000,868,1852.99
australian-fur-staples,engage out-of-the-box content,Bechtelar-Gutkowski,Australian Fur Staples,"Try to index the XML system, maybe it will navigate the bluetooth interface!",Color or something,Aphonic Fur Phone 9d53cd4b0a8c2a341ba950b1922dfe2c,8000,713,155.99
australian-fur-staples,,,,,,Appliable Steel Paintbrush 92c893506e7a01fee03b228255aafdb5,1000,530,2939.99
australian-fur-staples,,,,,,Antimonious Canvas Paper 905370035562cce0ae4e30ecd836492c,4000,490,1208.99
australian-fur-staples,,,,,,Cathartic Paper Pants d5636ed59d68a8f3c8e4d4d660637e27,6000,251,543.99
cat-and-dog-glass-paper,syndicate leading-edge e-business,Mitchell-Bode,Cat-and-dog Glass Paper,"synthesizing the protocol won't do anything, we need to quantify the solid state EXE driver!",Color or something,Astrophysical Aluminum Paper f76362ffcf2ad059f96116be7c0f7da8,6000,382,783.99
cat-and-dog-glass-paper,,,,,,Rhemish Cotton House 9fe6ceda2404cdd8adc7bcf98772de0d,3000,125,1543.99
cat-and-dog-glass-paper,,,,,,Attained Rubber Printer 68fa22f958acec001801dfe1e0106522,7000,442,401.99
cat-and-dog-glass-paper,,,,,,Additive Canvas Bag a6847ee7a27bb4fd023fa3aca0113a6c,6000,490,200.99
ambidexter-cotton-paintbrush,integrate extensible eyeballs,Ortiz Group,Ambidexter Cotton Paintbrush,"I'll back up the wireless FTP protocol, that should hard drive the GB transmitter!",Color or something,Bulgarian Granite Modem 294a82104cfd1522c80240c791f6b811,8000,849,253.99
ambidexter-cotton-paintbrush,,,,,,Animist Fur Television fc500c78765ebb4f363af836f50cd001,8000,114,1591.99
ambidexter-cotton-paintbrush,,,,,,Thebaic Cotton Coat 607e05b58cc96cd90e0b3595367ce178,7000,844,912.99
ambidexter-cotton-paintbrush,,,,,,Blameworthy Fur Keyboard 495b536ed23e1b7fb06df564e19079b9,3000,585,2767.99
autonomic-rubber-modem,incubate rich niches,Lynch Group,Autonomic Rubber Modem,"The COM interface is down, reboot the mobile feed so we can compress the GB port!",Color or something,Acinous Aluminum Pencil dbc1d52b29eb73c4b241d5d35bc6b582,7000,423,652.99
autonomic-rubber-modem,,,,,,Carboxyl Fur Pants 0853df7fdc3871080046cb603d183ecf,5000,112,100.99
autonomic-rubber-modem,,,,,,Befouled Fur Gloves 7d0a28cd28a069a12335a585e08940bd,1000,806,664.99
autonomic-rubber-modem,,,,,,Amphitheatrical Gold Hat a52765092037b1276f2804183ae87b9e,7000,89,2125.99
antliate-pine-notebook,maximize clicks-and-mortar synergies,Morar-Corwin,Antliate Pine Notebook,"I'll synthesize the 1080p SDD port, that should array the GB pixel!",Color or something,Amplexicaul Cotton Mouse 6f91ae3155883a5f366ac78f1a944af4,7000,761,2501.99
antliate-pine-notebook,,,,,,Mauritian Cotton Sticket fa87145ff3a9a4a9a55c57577ad2514f,9000,553,1932.99
antliate-pine-notebook,,,,,,Blinding Fur Coat 3be6f773a09a3ea8433aca951905891b,1000,41,1045.99
antliate-pine-notebook,,,,,,Bloomy Aluminum Boat 77a68fe5edbb29d6dd9da6637b8a2372,6000,474,2243.99
befogged-pine-poster,envisioneer B2C infomediaries,Considine-Nikolaus,Befogged Pine Poster,"Use the multi-byte COM bus, then you can input the primary hard drive!",Color or something,Cancerous Vinyl Lamp 6d0b63de1c6f2a588833df0e3fb17aac,8000,800,1400.99
befogged-pine-poster,,,,,,Blistering Steel Picture 8cd0674dcc480a381e86bb26db3ba83a,5000,560,135.99
befogged-pine-poster,,,,,,Bedfast Silver Laptop b0b01e556c9a185d280f5373dd21ec7f,3000,560,1748.99
befogged-pine-poster,,,,,,Chanciest Paper Keyboard 6203be9494a0fdf719abf8f256ea2fee,5000,248,515.99
jewish-canvas-boat,reinvent customized portals,Lowe Group,Jewish Canvas Boat,We need to input the mobile XML card!,Color or something,Antediluvial Glass Lamp 9db9f4b583b9aed8a3bb18b2bcc16b01,5000,885,1299.99
